default,account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings,present_emp_since,installment_as_income_perc,personal_status_sex
0,no checking account,36,critical account/ other credits existing (not at this bank),domestic appliances,167100,unknown/ no savings account,.. >= 7 years,4,male : single
0,0 <= ... < 10000 INR,6,critical account/ other credits existing (not at this bank),retraining,46600,unknown/ no savings account,4 <= ... < 7 years,1,female : divorced/separated/married
0,< 0 INR,18,no credits taken/ all credits paid back duly,business,155200,... < 5000 INR,4 <= ... < 7 years,3,male : single
0,>= 10000 INR / salary assignments for at least 1 year,36,existing credits paid back duly till now,domestic appliances,195650,... < 5000 INR,1 <= ... < 4 years,2,male : single
0,< 0 INR,24,existing credits paid back duly till now,radio/television,151050,... < 5000 INR,1 <= ... < 4 years,2,male : divorced/separated
0,no checking account,10,existing credits paid back duly till now,car (new),68200,... < 5000 INR,1 <= ... < 4 years,2,female : divorced/separated/married
0,0 <= ... < 10000 INR,12,existing credits paid back duly till now,domestic appliances,31250,... < 5000 INR,... < 1 year ,4,male : married/widowed
0,< 0 INR,12,existing credits paid back duly till now,(vacation - does not exist?),60000,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married
0,no checking account,12,existing credits paid back duly till now,domestic appliances,35350,... < 5000 INR,1 <= ... < 4 years,4,male : single
0,no checking account,24,delay in paying off in the past,business,148900,unknown/ no savings account,1 <= ... < 4 years,4,male : single
0,no checking account,15,existing credits paid back duly till now,car (used),232850,... < 5000 INR,1 <= ... < 4 years,3,male : single
0,no checking account,36,no credits taken/ all credits paid back duly,education,130650,... < 5000 INR,1 <= ... < 4 years,4,male : single
1,0 <= ... < 10000 INR,48,existing credits paid back duly till now,domestic appliances,548050,.. >= 50000 INR ,4 <= ... < 7 years,1,male : single
1,< 0 INR,12,existing credits paid back duly till now,radio/television,393250,... < 5000 INR,.. >= 7 years,4,male : single
1,no checking account,9,existing credits paid back duly till now,domestic appliances,73900,... < 5000 INR,4 <= ... < 7 years,4,male : single
0,< 0 INR,24,existing credits paid back duly till now,radio/television,157450,... < 5000 INR,... < 1 year ,4,male : single
1,>= 10000 INR / salary assignments for at least 1 year,36,existing credits paid back duly till now,domestic appliances,210500,... < 5000 INR,1 <= ... < 4 years,4,male : single
0,no checking account,9,existing credits paid back duly till now,car (new),125350,25000 <= ... < 50000 INR ,.. >= 7 years,2,male : single
0,no checking account,12,existing credits paid back duly till now,domestic appliances,107050,5000 <= ... < 25000 INR,4 <= ... < 7 years,3,male : single
0,0 <= ... < 10000 INR,18,existing credits paid back duly till now,domestic appliances,43300,... < 5000 INR,1 <= ... < 4 years,4,male : married/widowed
0,no checking account,4,critical account/ other credits existing (not at this bank),domestic appliances,77200,... < 5000 INR,4 <= ... < 7 years,2,male : single
1,< 0 INR,24,existing credits paid back duly till now,domestic appliances,91150,... < 5000 INR,unemployed,4,male : single
1,0 <= ... < 10000 INR,6,existing credits paid back duly till now,car (new),727750,unknown/ no savings account,unemployed,1,male : single
1,0 <= ... < 10000 INR,21,existing credits paid back duly till now,business,138350,5000 <= ... < 25000 INR,.. >= 7 years,4,male : divorced/separated
0,no checking account,12,critical account/ other credits existing (not at this bank),domestic appliances,64550,... < 5000 INR,1 <= ... < 4 years,4,female : divorced/separated/married
0,< 0 INR,30,existing credits paid back duly till now,domestic appliances,126100,... < 5000 INR,.. >= 7 years,1,male : single
1,< 0 INR,24,existing credits paid back duly till now,car (new),45750,unknown/ no savings account,.. >= 7 years,4,female : divorced/separated/married
0,no checking account,6,existing credits paid back duly till now,domestic appliances,79750,... < 5000 INR,4 <= ... < 7 years,3,male : single
1,< 0 INR,48,no credits taken/ all credits paid back duly,car (used),230250,... < 5000 INR,.. >= 7 years,3,male : single
0,no checking account,12,critical account/ other credits existing (not at this bank),business,59250,... < 5000 INR,1 <= ... < 4 years,3,female : divorced/separated/married
0,no checking account,12,all credits at this bank paid back duly,retraining,172350,25000 <= ... < 50000 INR ,1 <= ... < 4 years,4,female : divorced/separated/married
0,no checking account,24,existing credits paid back duly till now,business,62900,... < 5000 INR,4 <= ... < 7 years,4,male : single
0,no checking account,12,critical account/ other credits existing (not at this bank),domestic appliances,35850,... < 5000 INR,.. >= 7 years,4,male : single
0,no checking account,6,no credits taken/ all credits paid back duly,car (new),60200,5000 <= ... < 25000 INR,1 <= ... < 4 years,4,male : single
0,>= 10000 INR / salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,96250,... < 5000 INR,1 <= ... < 4 years,2,male : single
1,no checking account,18,existing credits paid back duly till now,domestic appliances,21650,... < 5000 INR,unemployed,3,female : divorced/separated/married
0,< 0 INR,6,critical account/ other credits existing (not at this bank),car (new),33300,.. >= 50000 INR ,4 <= ... < 7 years,3,female : divorced/separated/married
0,>= 10000 INR / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,112550,... < 5000 INR,1 <= ... < 4 years,1,female : divorced/separated/married
1,0 <= ... < 10000 INR,30,existing credits paid back duly till now,car (new),107500,... < 5000 INR,1 <= ... < 4 years,4,female : divorced/separated/married
0,no checking account,24,delay in paying off in the past,radio/television,207550,5000 <= ... < 25000 INR,1 <= ... < 4 years,2,male : single
0,0 <= ... < 10000 INR,9,existing credits paid back duly till now,radio/television,101500,unknown/ no savings account,4 <= ... < 7 years,2,male : single
0,0 <= ... < 10000 INR,60,delay in paying off in the past,domestic appliances,370900,unknown/ no savings account,1 <= ... < 4 years,1,male : single
0,no checking account,24,critical account/ other credits existing (not at this bank),domestic appliances,134200,... < 5000 INR,1 <= ... < 4 years,4,male : single
1,< 0 INR,12,all credits at this bank paid back duly,domestic appliances,107450,... < 5000 INR,1 <= ... < 4 years,4,male : divorced/separated
0,no checking account,15,existing credits paid back duly till now,car (used),190600,5000 <= ... < 25000 INR,... < 1 year ,1,female : divorced/separated/married
0,no checking account,11,critical account/ other credits existing (not at this bank),domestic appliances,57700,5000 <= ... < 25000 INR,unemployed,4,female : divorced/separated/married
0,< 0 INR,12,existing credits paid back duly till now,radio/television,82850,... < 5000 INR,1 <= ... < 4 years,2,male : single
0,< 0 INR,24,existing credits paid back duly till now,domestic appliances,80150,... < 5000 INR,.. >= 7 years,4,female : divorced/separated/married
0,< 0 INR,18,critical account/ other credits existing (not at this bank),car (new),265100,... < 5000 INR,.. >= 7 years,2,male : single
0,no checking account,12,critical account/ other credits existing (not at this bank),(vacation - does not exist?),137400,... < 5000 INR,.. >= 7 years,2,female : divorced/separated/married
0,no checking account,10,critical account/ other credits existing (not at this bank),car (new),61550,... < 5000 INR,.. >= 7 years,3,male : single
1,0 <= ... < 10000 INR,15,existing credits paid back duly till now,domestic appliances,40100,... < 5000 INR,.. >= 7 years,4,male : single
0,no checking account,36,critical account/ other credits existing (not at this bank),business,315200,unknown/ no savings account,.. >= 7 years,4,male : single
0,no checking account,24,existing credits paid back duly till now,domestic appliances,76650,... < 5000 INR,... < 1 year ,4,female : divorced/separated/married
1,< 0 INR,14,existing credits paid back duly till now,car (new),448900,... < 5000 INR,.. >= 7 years,1,male : divorced/separated
0,no checking account,24,existing credits paid back duly till now,domestic appliances,49950,unknown/ no savings account,.. >= 7 years,4,male : single
0,no checking account,18,existing credits paid back duly till now,car (new),133100,unknown/ no savings account,4 <= ... < 7 years,4,male : single
0,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,70100,25000 <= ... < 50000 INR ,4 <= ... < 7 years,3,female : divorced/separated/married
0,0 <= ... < 10000 INR,48,all credits at this bank paid back duly,car (new),608450,unknown/ no savings account,unemployed,4,male : single
1,0 <= ... < 10000 INR,48,existing credits paid back duly till now,domestic appliances,153000,... < 5000 INR,4 <= ... < 7 years,4,male : single
1,< 0 INR,30,existing credits paid back duly till now,education,599900,... < 5000 INR,... < 1 year ,1,male : divorced/separated
0,no checking account,9,existing credits paid back duly till now,domestic appliances,134850,... < 5000 INR,1 <= ... < 4 years,1,male : single
0,no checking account,18,critical account/ other credits existing (not at this bank),domestic appliances,120200,... < 5000 INR,1 <= ... < 4 years,2,female : divorced/separated/married
0,< 0 INR,12,existing credits paid back duly till now,radio/television,63100,unknown/ no savings account,.. >= 7 years,2,male : divorced/separated
1,no checking account,6,existing credits paid back duly till now,radio/television,230550,... < 5000 INR,... < 1 year ,1,female : divorced/separated/married
0,no checking account,24,existing credits paid back duly till now,domestic appliances,95050,5000 <= ... < 25000 INR,1 <= ... < 4 years,4,male : single
0,no checking account,15,critical account/ other credits existing (not at this bank),car (used),168400,.. >= 50000 INR ,.. >= 7 years,3,male : single
0,no checking account,12,existing credits paid back duly till now,radio/television,78700,... < 5000 INR,1 <= ... < 4 years,4,male : single
0,>= 10000 INR / salary assignments for at least 1 year,18,all credits at this bank paid back duly,domestic appliances,72250,unknown/ no savings account,4 <= ... < 7 years,4,male : single
0,no checking account,15,critical account/ other credits existing (not at this bank),radio/television,76000,unknown/ no savings account,.. >= 7 years,4,male : single
0,0 <= ... < 10000 INR,24,critical account/ other credits existing (not at this bank),car (new),193900,5000 <= ... < 25000 INR,... < 1 year ,4,male : divorced/separated
0,< 0 INR,47,existing credits paid back duly till now,car (new),536100,... < 5000 INR,... < 1 year ,1,female : divorced/separated/married
0,< 0 INR,48,existing credits paid back duly till now,car (used),239400,... < 5000 INR,4 <= ... < 7 years,4,male : single
0,0 <= ... < 10000 INR,48,delay in paying off in the past,furniture/equipment,379100,5000 <= ... < 25000 INR,unemployed,2,male : single
0,0 <= ... < 10000 INR,12,existing credits paid back duly till now,domestic appliances,54600,... < 5000 INR,1 <= ... < 4 years,4,female : divorced/separated/married
1,< 0 INR,24,delay in paying off in the past,domestic appliances,51200,... < 5000 INR,... < 1 year ,4,male : married/widowed
0,no checking account,12,existing credits paid back duly till now,business,53800,... < 5000 INR,1 <= ... < 4 years,2,male : married/widowed
1,0 <= ... < 10000 INR,36,existing credits paid back duly till now,car (used),469900,... < 5000 INR,... < 1 year ,1,male : married/widowed
0,< 0 INR,24,critical account/ other credits existing (not at this bank),car (used),320950,... < 5000 INR,.. >= 7 years,2,female : divorced/separated/married
0,>= 10000 INR / salary assignments for at least 1 year,42,critical account/ other credits existing (not at this bank),car (used),239800,... < 5000 INR,.. >= 7 years,4,male : single
0,no checking account,48,critical account/ other credits existing (not at this bank),business,381450,unknown/ no savings account,.. >= 7 years,4,male : divorced/separated
1,0 <= ... < 10000 INR,48,existing credits paid back duly till now,radio/television,498000,... < 5000 INR,... < 1 year ,1,female : divorced/separated/married
0,no checking account,12,existing credits paid back duly till now,car (used),233750,unknown/ no savings account,... < 1 year ,1,female : divorced/separated/married
0,no checking account,10,existing credits paid back duly till now,car (new),64350,unknown/ no savings account,.. >= 7 years,4,male : single
0,no checking account,18,existing credits paid back duly till now,radio/television,125750,... < 5000 INR,1 <= ... < 4 years,3,male : single
0,0 <= ... < 10000 INR,21,critical account/ other credits existing (not at this bank),radio/television,137250,.. >= 50000 INR ,4 <= ... < 7 years,3,male : single
0,no checking account,6,existing credits paid back duly till now,car (new),33600,... < 5000 INR,unemployed,1,female : divorced/separated/married
1,0 <= ... < 10000 INR,36,no credits taken/ all credits paid back duly,domestic appliances,190200,... < 5000 INR,1 <= ... < 4 years,4,female : divorced/separated/married
1,>= 10000 INR / salary assignments for at least 1 year,24,critical account/ other credits existing (not at this bank),car (new),67200,unknown/ no savings account,4 <= ... < 7 years,4,male : single
0,< 0 INR,10,critical account/ other credits existing (not at this bank),car (new),51900,... < 5000 INR,4 <= ... < 7 years,4,male : single
1,no checking account,48,critical account/ other credits existing (not at this bank),car (new),506350,25000 <= ... < 50000 INR ,1 <= ... < 4 years,2,male : single
0,no checking account,6,existing credits paid back duly till now,radio/television,77150,.. >= 50000 INR ,1 <= ... < 4 years,4,male : divorced/separated
0,no checking account,30,existing credits paid back duly till now,car (used),240550,unknown/ no savings account,4 <= ... < 7 years,2,female : divorced/separated/married
1,< 0 INR,12,existing credits paid back duly till now,domestic appliances,36350,5000 <= ... < 25000 INR,... < 1 year ,4,male : married/widowed
1,0 <= ... < 10000 INR,8,existing credits paid back duly till now,radio/television,61850,... < 5000 INR,1 <= ... < 4 years,3,female : divorced/separated/married
0,0 <= ... < 10000 INR,9,existing credits paid back duly till now,car (new),13800,... < 5000 INR,1 <= ... < 4 years,4,male : married/widowed
0,0 <= ... < 10000 INR,48,existing credits paid back duly till now,furniture/equipment,269050,unknown/ no savings account,unemployed,3,male : single
0,no checking account,24,existing credits paid back duly till now,radio/television,275550,5000 <= ... < 25000 INR,1 <= ... < 4 years,4,male : single
0,>= 10000 INR / salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,187450,... < 5000 INR,... < 1 year ,2,female : divorced/separated/married
1,0 <= ... < 10000 INR,12,existing credits paid back duly till now,car (new),34250,... < 5000 INR,4 <= ... < 7 years,2,male : married/widowed
0,>= 10000 INR / salary assignments for at least 1 year,4,existing credits paid back duly till now,car (new),74700,unknown/ no savings account,... < 1 year ,1,male : single
1,< 0 INR,36,all credits at this bank paid back duly,radio/television,137300,... < 5000 INR,.. >= 7 years,4,male : single
0,< 0 INR,12,existing credits paid back duly till now,radio/television,35400,... < 5000 INR,1 <= ... < 4 years,2,male : single
0,0 <= ... < 10000 INR,24,existing credits paid back duly till now,radio/television,217550,unknown/ no savings account,1 <= ... < 4 years,1,female : divorced/separated/married
0,no checking account,12,critical account/ other credits existing (not at this bank),(vacation - does not exist?),35050,... < 5000 INR,1 <= ... < 4 years,4,male : single
0,< 0 INR,15,delay in paying off in the past,radio/television,182150,... < 5000 INR,.. >= 7 years,1,female : divorced/separated/married
1,0 <= ... < 10000 INR,30,critical account/ other credits existing (not at this bank),car (new),212450,... < 5000 INR,unemployed,4,male : married/widowed
1,< 0 INR,24,existing credits paid back duly till now,domestic appliances,96900,... < 5000 INR,... < 1 year ,4,male : divorced/separated
0,< 0 INR,24,existing credits paid back duly till now,car (used),145500,... < 5000 INR,4 <= ... < 7 years,2,male : single
0,< 0 INR,18,existing credits paid back duly till now,radio/television,132950,.. >= 50000 INR ,1 <= ... < 4 years,4,male : single
0,no checking account,18,critical account/ other credits existing (not at this bank),car (new),51400,... < 5000 INR,1 <= ... < 4 years,4,female : divorced/separated/married
0,< 0 INR,8,critical account/ other credits existing (not at this bank),car (new),169900,... < 5000 INR,4 <= ... < 7 years,1,male : single
0,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,290050,unknown/ no savings account,.. >= 7 years,2,male : single
0,no checking account,24,existing credits paid back duly till now,car (new),76250,.. >= 50000 INR ,4 <= ... < 7 years,4,female : divorced/separated/married
0,>= 10000 INR / salary assignments for at least 1 year,36,existing credits paid back duly till now,domestic appliances,223650,... < 5000 INR,.. >= 7 years,4,male : single
0,0 <= ... < 10000 INR,6,existing credits paid back duly till now,domestic appliances,53400,... < 5000 INR,.. >= 7 years,4,male : single
0,< 0 INR,24,critical account/ other credits existing (not at this bank),car (used),330750,... < 5000 INR,unemployed,2,male : single
1,no checking account,18,critical account/ other credits existing (not at this bank),(vacation - does not exist?),93200,5000 <= ... < 25000 INR,1 <= ... < 4 years,4,female : divorced/separated/married
1,0 <= ... < 10000 INR,60,existing credits paid back duly till now,car (new),370400,5000 <= ... < 25000 INR,... < 1 year ,4,female : divorced/separated/married
1,no checking account,48,critical account/ other credits existing (not at this bank),car (used),579500,5000 <= ... < 25000 INR,1 <= ... < 4 years,2,female : divorced/separated/married
1,< 0 INR,24,no credits taken/ all credits paid back duly,radio/television,205500,... < 5000 INR,.. >= 7 years,3,male : single
1,< 0 INR,6,critical account/ other credits existing (not at this bank),radio/television,169200,... < 5000 INR,1 <= ... < 4 years,1,male : divorced/separated
0,0 <= ... < 10000 INR,13,existing credits paid back duly till now,domestic appliances,105050,... < 5000 INR,... < 1 year ,2,female : divorced/separated/married
1,< 0 INR,15,existing credits paid back duly till now,repairs,63750,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married
0,< 0 INR,24,existing credits paid back duly till now,radio/television,208450,... < 5000 INR,1 <= ... < 4 years,4,male : single
0,0 <= ... < 10000 INR,10,existing credits paid back duly till now,radio/television,76050,... < 5000 INR,1 <= ... < 4 years,4,male : divorced/separated
0,0 <= ... < 10000 INR,24,critical account/ other credits existing (not at this bank),(vacation - does not exist?),287150,... < 5000 INR,... < 1 year ,2,female : divorced/separated/married
0,< 0 INR,21,existing credits paid back duly till now,radio/television,179950,... < 5000 INR,4 <= ... < 7 years,1,female : divorced/separated/married
0,0 <= ... < 10000 INR,18,existing credits paid back duly till now,domestic appliances,160650,25000 <= ... < 50000 INR ,... < 1 year ,1,male : married/widowed
0,0 <= ... < 10000 INR,18,existing credits paid back duly till now,business,221950,... < 5000 INR,.. >= 7 years,1,male : single
0,>= 10000 INR / salary assignments for at least 1 year,10,existing credits paid back duly till now,car (new),197450,... < 5000 INR,... < 1 year ,1,male : single
0,no checking account,15,critical account/ other credits existing (not at this bank),domestic appliances,72950,... < 5000 INR,1 <= ... < 4 years,4,female : divorced/separated/married
0,0 <= ... < 10000 INR,13,critical account/ other credits existing (not at this bank),domestic appliances,44100,... < 5000 INR,... < 1 year ,4,male : single
0,0 <= ... < 10000 INR,24,existing credits paid back duly till now,domestic appliances,187900,25000 <= ... < 50000 INR ,unemployed,1,female : divorced/separated/married
0,no checking account,6,delay in paying off in the past,business,87150,5000 <= ... < 25000 INR,1 <= ... < 4 years,1,male : single
1,0 <= ... < 10000 INR,9,critical account/ other credits existing (not at this bank),(vacation - does not exist?),56800,.. >= 50000 INR ,.. >= 7 years,4,male : single
0,no checking account,9,existing credits paid back duly till now,repairs,61800,... < 5000 INR,... < 1 year ,1,female : divorced/separated/married
1,0 <= ... < 10000 INR,9,existing credits paid back duly till now,radio/television,47950,... < 5000 INR,1 <= ... < 4 years,1,female : divorced/separated/married
0,no checking account,18,critical account/ other credits existing (not at this bank),car (used),161450,unknown/ no savings account,unemployed,2,male : single
1,< 0 INR,12,no credits taken/ all credits paid back duly,domestic appliances,309950,... < 5000 INR,1 <= ... < 4 years,4,male : single
0,no checking account,10,existing credits paid back duly till now,(vacation - does not exist?),36350,25000 <= ... < 50000 INR ,.. >= 7 years,4,male : single
1,0 <= ... < 10000 INR,24,existing credits paid back duly till now,car (new),62300,... < 5000 INR,... < 1 year ,4,male : single
0,no checking account,12,critical account/ other credits existing (not at this bank),domestic appliances,116550,unknown/ no savings account,.. >= 7 years,1,male : single
1,no checking account,36,delay in paying off in the past,domestic appliances,223150,... < 5000 INR,1 <= ... < 4 years,4,male : single
0,no checking account,12,existing credits paid back duly till now,domestic appliances,38800,... < 5000 INR,1 <= ... < 4 years,4,male : married/widowed
1,< 0 INR,30,existing credits paid back duly till now,radio/television,120300,... < 5000 INR,4 <= ... < 7 years,4,female : divorced/separated/married
0,0 <= ... < 10000 INR,18,existing credits paid back duly till now,(vacation - does not exist?),61950,unknown/ no savings account,1 <= ... < 4 years,4,male : single
0,>= 10000 INR / salary assignments for at least 1 year,12,existing credits paid back duly till now,domestic appliances,169950,unknown/ no savings account,.. >= 7 years,2,male : single
0,>= 10000 INR / salary assignments for at least 1 year,12,delay in paying off in the past,car (new),112350,... < 5000 INR,1 <= ... < 4 years,2,female : divorced/separated/married
0,no checking account,6,existing credits paid back duly till now,radio/television,88300,... < 5000 INR,1 <= ... < 4 years,1,male : married/widowed
1,< 0 INR,18,existing credits paid back duly till now,radio/television,123650,... < 5000 INR,unemployed,4,male : single
0,no checking account,12,existing credits paid back duly till now,business,77100,... < 5000 INR,4 <= ... < 7 years,2,male : single
0,no checking account,18,critical account/ other credits existing (not at this bank),car (used),192500,... < 5000 INR,4 <= ... < 7 years,3,male : single
0,< 0 INR,18,existing credits paid back duly till now,radio/television,182500,... < 5000 INR,... < 1 year ,1,female : divorced/separated/married
1,< 0 INR,36,existing credits paid back duly till now,radio/television,172300,... < 5000 INR,.. >= 7 years,4,male : single
0,0 <= ... < 10000 INR,18,existing credits paid back duly till now,radio/television,150050,... < 5000 INR,4 <= ... < 7 years,2,female : divorced/separated/married
0,no checking account,36,existing credits paid back duly till now,car (new),153950,unknown/ no savings account,1 <= ... < 4 years,4,male : single
0,no checking account,18,critical account/ other credits existing (not at this bank),domestic appliances,303500,... < 5000 INR,.. >= 7 years,3,male : single
0,no checking account,10,critical account/ other credits existing (not at this bank),radio/television,107300,... < 5000 INR,... < 1 year ,1,female : divorced/separated/married
0,no checking account,60,critical account/ other credits existing (not at this bank),car (new),687800,unknown/ no savings account,.. >= 7 years,2,male : single
1,0 <= ... < 10000 INR,60,all credits at this bank paid back duly,furniture/equipment,739100,5000 <= ... < 25000 INR,.. >= 7 years,3,female : divorced/separated/married
1,< 0 INR,48,all credits at this bank paid back duly,business,384250,... < 5000 INR,4 <= ... < 7 years,2,female : divorced/separated/married
0,no checking account,18,delay in paying off in the past,domestic appliances,116000,... < 5000 INR,unemployed,2,male : married/widowed
0,no checking account,7,delay in paying off in the past,domestic appliances,42300,unknown/ no savings account,.. >= 7 years,3,male : single
1,0 <= ... < 10000 INR,36,existing credits paid back duly till now,car (new),715900,... < 5000 INR,.. >= 7 years,4,male : single
0,no checking account,6,critical account/ other credits existing (not at this bank),car (new),18100,5000 <= ... < 25000 INR,1 <= ... < 4 years,4,female : divorced/separated/married
0,< 0 INR,20,existing credits paid back duly till now,radio/television,110600,unknown/ no savings account,4 <= ... < 7 years,4,male : single
1,0 <= ... < 10000 INR,18,existing credits paid back duly till now,car (used),648800,... < 5000 INR,unemployed,3,female : divorced/separated/married
0,no checking account,22,existing credits paid back duly till now,car (new),64150,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married
0,>= 10000 INR / salary assignments for at least 1 year,12,existing credits paid back duly till now,car (new),66500,... < 5000 INR,... < 1 year ,4,male : single
0,no checking account,30,delay in paying off in the past,business,213600,5000 <= ... < 25000 INR,1 <= ... < 4 years,2,male : single
0,no checking account,18,critical account/ other credits existing (not at this bank),domestic appliances,111900,... < 5000 INR,1 <= ... < 4 years,2,female : divorced/separated/married
0,no checking account,18,existing credits paid back duly till now,domestic appliances,56300,unknown/ no savings account,... < 1 year ,4,female : divorced/separated/married
0,0 <= ... < 10000 INR,18,critical account/ other credits existing (not at this bank),radio/television,368700,... < 5000 INR,unemployed,4,male : single
0,0 <= ... < 10000 INR,15,critical account/ other credits existing (not at this bank),business,116300,25000 <= ... < 50000 INR ,1 <= ... < 4 years,2,male : single
0,no checking account,9,existing credits paid back duly till now,business,72450,... < 5000 INR,4 <= ... < 7 years,3,female : divorced/separated/married
0,no checking account,18,existing credits paid back duly till now,car (new),91000,... < 5000 INR,1 <= ... < 4 years,2,male : married/widowed
0,0 <= ... < 10000 INR,12,existing credits paid back duly till now,radio/television,49150,.. >= 50000 INR ,... < 1 year ,1,female : divorced/separated/married
0,< 0 INR,36,existing credits paid back duly till now,car (new),162450,... < 5000 INR,4 <= ... < 7 years,2,male : single
0,< 0 INR,6,critical account/ other credits existing (not at this bank),domestic appliances,97850,... < 5000 INR,4 <= ... < 7 years,1,female : divorced/separated/married
0,no checking account,9,critical account/ other credits existing (not at this bank),radio/television,120300,... < 5000 INR,unemployed,2,male : single
0,0 <= ... < 10000 INR,39,delay in paying off in the past,(vacation - does not exist?),588000,5000 <= ... < 25000 INR,4 <= ... < 7 years,2,male : single
0,< 0 INR,12,existing credits paid back duly till now,radio/television,128900,... < 5000 INR,unemployed,3,female : divorced/separated/married
0,< 0 INR,36,critical account/ other credits existing (not at this bank),radio/television,117400,... < 5000 INR,1 <= ... < 4 years,3,male : married/widowed
1,0 <= ... < 10000 INR,12,existing credits paid back duly till now,car (new),61150,... < 5000 INR,.. >= 7 years,1,male : divorced/separated
0,no checking account,24,critical account/ other credits existing (not at this bank),domestic appliances,75800,.. >= 50000 INR ,1 <= ... < 4 years,4,female : divorced/separated/married
0,no checking account,18,existing credits paid back duly till now,domestic appliances,73650,... < 5000 INR,... < 1 year ,3,male : married/widowed
0,0 <= ... < 10000 INR,18,critical account/ other credits existing (not at this bank),business,94350,unknown/ no savings account,1 <= ... < 4 years,4,male : married/widowed
1,no checking account,24,delay in paying off in the past,business,432400,... < 5000 INR,... < 1 year ,2,male : single
0,no checking account,14,delay in paying off in the past,car (new),40100,... < 5000 INR,1 <= ... < 4 years,4,male : single
0,0 <= ... < 10000 INR,18,delay in paying off in the past,car (new),144950,unknown/ no savings account,.. >= 7 years,4,male : single
1,0 <= ... < 10000 INR,24,existing credits paid back duly till now,domestic appliances,101950,... < 5000 INR,... < 1 year ,1,male : married/widowed
0,no checking account,24,critical account/ other credits existing (not at this bank),car (used),109850,unknown/ no savings account,4 <= ... < 7 years,4,male : single
0,< 0 INR,15,existing credits paid back duly till now,domestic appliances,52650,... < 5000 INR,... < 1 year ,4,male : married/widowed
0,no checking account,24,existing credits paid back duly till now,domestic appliances,161750,25000 <= ... < 50000 INR ,.. >= 7 years,3,male : divorced/separated
1,>= 10000 INR / salary assignments for at least 1 year,12,critical account/ other credits existing (not at this bank),car (new),46950,25000 <= ... < 50000 INR ,4 <= ... < 7 years,4,male : married/widowed
0,0 <= ... < 10000 INR,24,existing credits paid back duly till now,domestic appliances,98350,... < 5000 INR,.. >= 7 years,4,female : divorced/separated/married
0,no checking account,33,critical account/ other credits existing (not at this bank),car (used),362650,... < 5000 INR,4 <= ... < 7 years,3,male : single
1,no checking account,12,critical account/ other credits existing (not at this bank),business,114600,... < 5000 INR,unemployed,4,male : single
0,no checking account,10,existing credits paid back duly till now,car (new),79850,25000 <= ... < 50000 INR ,1 <= ... < 4 years,3,male : single
1,< 0 INR,24,existing credits paid back duly till now,car (new),69050,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married
0,no checking account,36,critical account/ other credits existing (not at this bank),car (used),292100,... < 5000 INR,.. >= 7 years,2,male : single
1,< 0 INR,12,existing credits paid back duly till now,car (new),128950,... < 5000 INR,... < 1 year ,4,male : single
0,< 0 INR,18,delay in paying off in the past,(vacation - does not exist?),423550,unknown/ no savings account,1 <= ... < 4 years,1,female : divorced/separated/married
0,no checking account,21,existing credits paid back duly till now,car (new),139100,25000 <= ... < 50000 INR ,4 <= ... < 7 years,1,female : divorced/separated/married
1,0 <= ... < 10000 INR,18,existing credits paid back duly till now,car (new),52100,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married
0,no checking account,15,existing credits paid back duly till now,car (new),159300,.. >= 50000 INR ,4 <= ... < 7 years,2,female : divorced/separated/married
0,0 <= ... < 10000 INR,12,existing credits paid back duly till now,car (used),101400,unknown/ no savings account,1 <= ... < 4 years,4,male : single
0,0 <= ... < 10000 INR,12,critical account/ other credits existing (not at this bank),car (new),47900,... < 5000 INR,4 <= ... < 7 years,2,male : single
0,no checking account,21,delay in paying off in the past,radio/television,79550,5000 <= ... < 25000 INR,4 <= ... < 7 years,4,male : single
1,0 <= ... < 10000 INR,12,existing credits paid back duly till now,radio/television,138100,unknown/ no savings account,.. >= 7 years,1,female : divorced/separated/married
0,0 <= ... < 10000 INR,18,existing credits paid back duly till now,car (used),138950,... < 5000 INR,1 <= ... < 4 years,1,male : married/widowed
0,no checking account,28,critical account/ other credits existing (not at this bank),domestic appliances,137150,... < 5000 INR,.. >= 7 years,4,male : single
0,no checking account,18,critical account/ other credits existing (not at this bank),domestic appliances,57450,.. >= 50000 INR ,1 <= ... < 4 years,4,male : single
0,no checking account,9,existing credits paid back duly till now,radio/television,65650,... < 5000 INR,.. >= 7 years,1,male : single
1,< 0 INR,18,critical account/ other credits existing (not at this bank),education,59500,... < 5000 INR,unemployed,2,female : divorced/separated/married
0,no checking account,5,existing credits paid back duly till now,business,172400,... < 5000 INR,4 <= ... < 7 years,1,male : single
1,0 <= ... < 10000 INR,24,existing credits paid back duly till now,furniture/equipment,566400,... < 5000 INR,1 <= ... < 4 years,2,male : single
